acc_id,acc_date,acc_state,acc_city,fix_port,source,bus_type,industry_sector,device_category,device_type,tradename_or_generic,manufacturer,num_injured,age_youngest,gender,acc_desc,injury_desc,report,category,mechanical,op_error,employee,notes
919283,4/24/2004,CA,Vallejo,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,water ride,Rafting ride,rafting ride,Intamin AG,1,11,F,Child injured her head when the raft she was riding in took a turn and she struck her head on the side of the raft.,Laceration above right eye.,,Impact: hit something within ride vehicle,,,,
919284,4/24/2004,CA,Santa Cruz,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,water ride,Flume ride,Hydro Flume,Arrow Dynamics,1,15,F,"Patron injured her right hand ring finger when she turned around to speak with a friend and put her hand outside the boat.  Her hand was pinched between the boat and the flume, causing a laceration to each side of her finger.","Fractured and lacerated finger, required 12 stiches to close the wound.",,Entrapment or pinch-point,,,,
919576,4/24/2004,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,water ride,Boat ride,boat ride,Arrow Dynamics,1,17,M,Guest states he had a seizure while riding.  History of seizures.,Seizure.  Transported to local hospital.,,Illness: Seizure or LOC,,,,
919409,4/23/2004,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,vertical drop,Drop tower,drop tower,S&S Worldwide,1,8,F,"Guest fell when getting off her seat at the end of the ride, injuring her arm.","Injury to arm, transported to local hospital.",,Load/Unload: scrape or stumble,,,,
919456,4/23/2004,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,steel sitdown coaster,In-house,1,44,F,Guest states she injured her neck while riding.,Injured neck.  Treated by private physician.,,Body pain (normal motion),,,,
919869,4/23/2004,CA,San Jose,F,California Division of Occupational Safety and Health,Zoo or museum,amusement ride,spinning,Roundabout,kiddie roundabout,,1,,U,Unknown,Unknown,,Unknown (not enough info),,,,
912375,4/22/2004,MI,Taylor,P,Michigan Dept. of Labor and Economic Growth,Carnival or rental,amusement ride,pendulum,Flying carpet ride,Crazy Submarine,Zamperla,1,43,M,"Employee killed.  No further information provided in regulatory report.  According to news report, witnesses said it appeared that the victim was performing maintenance on top of the ride when another employee started it. Apparently, the worker did not know the victim was working.A 5-year-old boy was the sole passenger on the ride. He was not injured.",,,Employee injured,,1,1,
914015,4/19/2004,NJ,Pt. Pleasant Beach,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,spinning,Roundabout,Pony Carts,Mangels,1,62,F,"Patron states whiel putting her granddaughter on the pony carts, patron tripped over the bracing that connects the platform together under the ride. Manager asked if First Aid was necessary. Patron refused first aid. Patron appears to be ok and states her had feels fine (approx. 10 minutes after accident).",,,Load/Unload: scrape or stumble,,,,Loss of Control by Rider
917411,4/18/2004,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,water ride,Rafting ride,rafting ride,Intamin AG,1,20,F,Guest alleges abdominal pain and bleeding after riding attraction. Guest is 2 months pregnant.,,,Illness or neurological symptoms,,,,
911747,4/17/2004,TX,Houston,F,Texas Dept. of Insurance,Amusement park,amusement ride,coaster,Coaster - steel,inverted coaster,Vekoma,1,14,F,Struck Lap bar,Dental,,Impact: hit something within ride vehicle,,,,
